City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
89,iqaluit,63.7506,-68.5145,251.4,98,57,1.72,CA,1670297223
90,khatanga,71.9667,102.5,249.15,88,100,5.29,RU,1670297223
91,lebu,-37.6167,-73.65,287.18,90,8,1.28,CL,1670297223
92,brcko,44.8728,18.8083,278.02,84,55,1.31,BA,1670297224
93,chiang klang,19.2938,100.8617,300.08,69,25,0.98,TH,1670297224
94,barcelos,41.5388,-8.6151,285.33,85,76,1.2,PT,1670297111
95,bathsheba,13.2167,-59.5167,295.96,95,20,2.06,BB,1670297225
96,yima,34.7381,111.8839,279.71,38,100,1.3,CN,1670297225
97,grand gaube,-20.0064,57.6608,298.92,72,68,4.02,MU,1670297226
98,pisco,-13.7,-76.2167,292.18,82,0,3.09,PE,1670297226
99,hilo,19.7297,-155.09,297.19,87,75,3.6,US,1670296976
100,coahuayana,18.7333,-103.6833,296.92,90,7,0.72,MX,1670297227
101,linqiong,30.4159,103.4609,281.05,76,100,1.43,CN,1670297227
102,nieuw amsterdam,5.8833,-55.0833,298.16,89,99,2.18,SR,1670297228
103,ayagoz,47.9714,80.4392,246.01,100,82,2.09,KZ,1670297228
104,east london,-33.0153,27.9116,288.67,77,0,4.12,ZA,1670297228
105,simiti,7.9579,-73.9436,295.82,93,16,1.27,CO,1670297229
106,ewa beach,21.3156,-158.0072,300.12,69,40,4.12,US,1670296959
107,arti,56.4234,58.5328,252.71,100,12,0.92,RU,1670297229
108,faya,18.3851,42.4509,283.21,59,0,1.35,SA,1670297230
109,solvychegodsk,61.3305,46.9156,261.63,90,100,2.7,RU,1670297230
110,vila franca do campo,37.7167,-25.4333,290.38,80,74,3.78,PT,1670297231
111,te anau,-45.4167,167.7167,284.31,81,99,1.39,NZ,1670297231
112,colinas,-6.0258,-44.2492,297.25,70,87,1.57,BR,1670297231
113,lerwick,60.1545,-1.1494,278.15,65,96,10.89,GB,1670297232
114,maraa,-1.8333,-65.3667,296.73,94,95,0.69,BR,1670297232
115,narsaq,60.9167,-46.05,280.27,71,99,5.76,GL,1670297232
116,bredasdorp,-34.5322,20.0403,286.01,77,95,1.4,ZA,1670297233
117,provideniya,64.3833,-173.3,273.35,93,100,16.09,RU,1670297233
118,chapais,49.7834,-74.8492,266.03,97,100,2.83,CA,1670297059
119,makaha,21.4694,-158.2175,300.1,60,100,2.57,US,1670297234
120,ha tinh,18.3333,105.9,290.8,82,100,2.78,VN,1670297234
121,linxia,35.6003,103.2064,273.82,42,7,0.85,CN,1670297235
122,kargasok,59.0556,80.8572,257.22,95,100,3.46,RU,1670297235
123,hambantota,6.1241,81.1185,298.34,100,40,0.51,LK,1670297224
124,saint-pierre,-21.3393,55.4781,300.32,61,20,2.06,RE,1670297236
125,havelock,34.8791,-76.9013,285.89,88,100,3.09,US,1670297236
126,uzunovo,54.5386,38.6173,262.33,86,93,3.04,RU,1670297237
127,cherskiy,68.75,161.3,251.01,90,100,2.0,RU,1670297237
128,immokalee,26.4187,-81.4173,294.12,93,26,2.65,US,1670297237
129,butaritari,3.0707,172.7902,300.31,80,86,6.66,KI,1670297238
130,boddam,57.4667,-1.7833,278.98,67,100,9.53,GB,1670296957
131,cidreira,-30.1811,-50.2056,294.81,92,100,3.01,BR,1670297239
132,atuona,-9.8,-139.0333,298.58,74,43,6.83,PF,1670297239
133,tshikapa,-6.4167,20.8,291.49,95,96,1.19,CD,1670297000
134,rio gallegos,-51.6226,-69.2181,280.18,49,20,5.14,AR,1670297239
135,evensk,61.95,159.2333,253.73,87,39,3.16,RU,1670297240
136,vardo,70.3705,31.1107,272.14,86,75,8.75,NO,1670297240
137,thompson,55.7435,-97.8558,240.24,75,0,3.09,CA,1670297241
138,gat,31.61,34.7642,288.37,100,6,2.47,IL,1670297241
139,shakawe,-18.3667,21.85,295.18,66,67,1.73,BW,1670297241
140,rocha,-34.4833,-54.3333,288.95,95,0,3.1,UY,1670297126
141,itarema,-2.9248,-39.9167,299.34,76,19,7.34,BR,1670297129
142,kiruna,67.8557,20.2251,271.66,86,100,3.6,SE,1670297242
143,riyadh,24.6877,46.7219,291.23,44,4,4.19,SA,1670297130
144,kaitangata,-46.2817,169.8464,287.11,49,27,6.25,NZ,1670297243
145,lorengau,-2.0226,147.2712,300.05,84,99,5.16,PG,1670297243
146,iracoubo,5.4802,-53.2011,297.9,90,95,3.59,GF,1670297243
147,sur,22.5667,59.5289,295.63,61,0,1.35,OM,1670297244
148,vao,-22.6667,167.4833,298.46,85,87,5.5,NC,1670297244
149,bowen,-20.0167,148.2333,301.09,59,0,4.44,AU,1670297245
150,kavieng,-2.5744,150.7967,301.83,69,71,0.97,PG,1670296997
151,klaksvik,62.2266,-6.589,276.66,61,92,11.21,FO,1670297245
152,mastic beach,40.7668,-72.8521,281.15,86,0,0.0,US,1670297246
153,healdsburg,38.6105,-122.8692,284.22,82,100,1.54,US,1670296953
154,oga,46.4631,10.347,269.09,82,35,1.39,IT,1670297246
155,airai,-8.9266,125.4092,299.32,31,48,1.09,TL,1670297246
156,kudahuvadhoo,2.6708,72.8944,299.81,78,89,3.68,MV,1670297247
157,hamina,60.5697,27.1979,270.75,96,100,5.86,FI,1670297247
158,atambua,-9.1061,124.8925,303.35,50,19,2.0,ID,1670297248
159,salalah,17.0151,54.0924,295.2,56,20,2.57,OM,1670297090
160,luanda,-8.8368,13.2343,297.23,83,100,2.96,AO,1670297248
161,carballo,43.213,-8.691,285.32,87,100,1.41,ES,1670297249
162,grindavik,63.8424,-22.4338,274.41,93,0,2.06,IS,1670297249
163,katsuura,35.1333,140.3,283.16,91,100,8.26,JP,1670297249
164,sitka,57.0531,-135.33,275.09,93,100,2.06,US,1670297250
165,san rafael,-34.6177,-68.3301,297.48,46,40,0.0,AR,1670297096
166,lazaro cardenas,17.9583,-102.2,298.05,85,1,0.81,MX,1670297250
167,fortuna,40.5982,-124.1573,280.34,94,100,2.06,US,1670297220
168,katobu,-4.9408,122.5276,304.48,57,100,1.41,ID,1670297251
169,nchelenge,-9.3451,28.734,293.49,86,91,0.94,ZM,1670297252
170,pedasi,7.5333,-80.0333,297.93,84,77,3.13,PA,1670297252
171,itupiranga,-5.1347,-49.3267,297.33,97,100,1.04,BR,1670296960
172,mpika,-11.8343,31.4529,288.72,91,100,1.67,ZM,1670297253
173,mamallapuram,12.6264,80.1722,299.18,71,47,5.12,IN,1670297253
174,apatfalva,46.1667,20.5833,277.52,88,41,5.0,HU,1670297254
175,chernyshevskiy,63.0128,112.4714,243.22,98,20,1.85,RU,1670297254
176,saint-philippe,-21.3585,55.7679,298.92,84,97,4.88,RE,1670297254
